item_id,recommend,sentiment_analysis,year,developer,title
1250.0,True,2,2011,Tripwire Interactive,Killing Floor
22200.0,True,2,2011,ACE Team,Zeno Clash
43110.0,True,2,2011,,
251610.0,True,2,2014,,
227300.0,True,2,2013,SCS Software,Euro Truck Simulator 2
239030.0,True,2,2013,3909,"Papers, Please"
370360.0,True,2,2015,Zachtronics,TIS-100
237930.0,True,2,2014,Supergiant Games,Transistor
263360.0,True,1,2014,Phr00t's Software,3089 -- Futuristic Action RPG
107200.0,True,2,2014,MinMax Games Ltd.,Space Pirates and Zombies
224500.0,True,2,2014,Robotronic Games,Gnomoria
250320.0,True,2,2013,Telltale Games,The Wolf Among Us
20920.0,True,2,2012,CD PROJEKT RED,The Witcher 2: Assassins of Kings Enhanced Edition
204100.0,True,2,2012,Rockstar Studios,Max Payne 3
224600.0,True,2,2014,"Trion Worlds, Inc.",Defiance
207610.0,True,0,2012,Telltale Games,The Walking Dead
108710.0,True,2,2012,Remedy Entertainment,Alan Wake
211420.0,True,1,2014,,
211820.0,True,2,2013,Chucklefish,Starbound
730.0,True,2,2014,Valve,Counter-Strike: Global Offensive
204300.0,True,2,2013,,
249130.0,True,1,2014,,
207610.0,True,1,2012,Telltale Games,The Walking Dead
550.0,True,2,2012,Valve,Left 4 Dead 2
65800.0,True,2,2012,Trendy Entertainment,Dungeon Defenders
220.0,True,2,2012,Valve,Half-Life 2
72850.0,True,0,2015,,
440.0,True,1,2014,,
304930.0,True,1,2014,Smartly Dressed Games,Unturned
4000.0,True,1,2013,Facepunch Studios,Garry's Mod
42910.0,True,1,2012,Arrowhead Game Studios,Magicka
232090.0,True,2,2015,Tripwire Interactive,Killing Floor 2
1250.0,True,2,2015,Tripwire Interactive,Killing Floor
4000.0,True,2,2014,Facepunch Studios,Garry's Mod
304930.0,True,2,2014,Smartly Dressed Games,Unturned
570.0,True,2,2013,,
218620.0,True,2,2015,,
224260.0,True,2,2013,No More Room in Hell Team,No More Room in Hell
1250.0,True,0,2013,Tripwire Interactive,Killing Floor
440.0,True,2,2012,,
730.0,True,2,2015,Valve,Counter-Strike: Global Offensive
440.0,True,2,2014,,
49520.0,True,1,2014,"Gearbox Software,Aspyr (Mac &amp; Linux)",Borderlands 2
33440.0,False,1,2014,,
220200.0,True,2,2015,Squad,Kerbal Space Program
211820.0,True,2,2014,Chucklefish,Starbound
440.0,True,2,2014,,
218740.0,True,2,2014,,
550.0,True,2,2015,Valve,Left 4 Dead 2
238090.0,True,0,2015,Rebellion,Sniper Elite 3
277430.0,True,2,2014,"Vanguard Games,343 Industries",Halo: Spartan Assault
8870.0,True,2,2015,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",BioShock Infinite
368230.0,True,0,2015,"Noio,Licorice",Kingdom: Classic
33930.0,True,2,2013,Bohemia Interactive,Arma 2: Operation Arrowhead
359320.0,False,0,2015,,
219640.0,True,2,2015,Torn Banner Studios,Chivalry: Medieval Warfare
287980.0,True,2,2015,Dinosaur Polo Club,Mini Metro
208090.0,True,2,2015,Edge of Reality,Loadout
242700.0,True,1,2014,"NetherRealm Studios,High Voltage Software",Injustice: Gods Among Us Ultimate Edition
570.0,False,1,2014,,
224260.0,True,1,2014,No More Room in Hell Team,No More Room in Hell
221100.0,True,2,2015,Bohemia Interactive,DayZ
570.0,True,2,2014,,
331470.0,True,2,2014,Soviet Games,Everlasting Summer
4000.0,True,2,2014,Facepunch Studios,Garry's Mod
