item_id,item_name,developer,sentiment_analysis
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,0.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,0.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,2.0
10.0,Counter-Strike,Valve,1.0
10.0,Counter-Strike,Valve,1.0
