item_name,item_id
Counter-Strike,10.0
Team Fortress Classic,20.0
Day of Defeat,30.0
Deathmatch Classic,40.0
Half-Life: Opposing Force,50.0
Ricochet,60.0
Half-Life,70.0
Half-Life: Blue Shift,130.0
Day of Defeat: Source,300.0
Counter-Strike: Source,240.0
Psychonauts,3830.0
Call of Duty 2,2630.0
Sid Meier's Civilization IV,3900.0
Sid Meier's Civilization IV,34440.0
Sid Meier's Pirates!,3920.0
Joint Task Force,6400.0
Deus Ex: Game of the Year Edition,6910.0
BioShock,7670.0
BioShock Remastered,409710.0
Half-Life 2,220.0
Half-Life 2: Deathmatch,320.0
Half-Life 2: Lost Coast,340.0
Half-Life Deathmatch: Source,360.0
Half-Life 2: Episode One,380.0
Portal,400.0
Half-Life 2: Episode Two,420.0
Company of Heroes: Opposing Fronts,9340.0
Company of Heroes (New Steam Version),228200.0
Overlord,11450.0
Call of Duty 4: Modern Warfare,7940.0
Medieval II: Total War,4700.0
Audiosurf,12900.0
Unreal Gold,13250.0
Virtual Villagers: A New Home,16100.0
Oddworld: Abe's Oddysee,15700.0
Oddworld: Abe's Exoddus,15710.0
Crysis Warhead,17330.0
Crysis Wars,17340.0
World of Goo,22000.0
Left 4 Dead,500.0
Company of Heroes,4560.0
Mass Effect,17460.0
Empire: Total War,10500.0
Burnout Paradise: The Ultimate Box,24740.0
Zeno Clash,22200.0
Braid,26800.0
Killing Floor,1250.0
Killing Floor Mod: Defence Alliance 2,35420.0
Plants vs. Zombies: Game of the Year,3590.0
Freedom Force,8880.0
Freedom Force vs. the 3rd Reich,8890.0
Droplitz,23120.0
Trine,35700.0
3D Ultra Minigolf Adventures Deluxe,10140.0
Batman: Arkham Asylum,35010.0
Batman: Arkham Asylum GOTY Edition,35140.0
Osmos,29180.0
AaAaAA!!! - A Reckless Disregard for Gravity,15520.0
STAR WARS™: Knights of the Old Republic™,32370.0
Darkest of Days,37700.0
STAR WARS™ Jedi Knight: Jedi Academy™,6020.0
Battlefield 2,24860.0
Painkiller: Black Edition,39530.0
Left 4 Dead 2,550.0
Left 4 Dead 2 Beta,223530.0
Borderlands,8980.0
Torchlight,41500.0
The Witcher: Enhanced Edition,20900.0
Call of Duty: Modern Warfare 2,10180.0
Call of Duty: Modern Warfare 2 - Multiplayer,10190.0
Dragon Age: Origins,17450.0
King's Bounty: Armored Princess,3170.0
King's Bounty: The Legend,25900.0
Zombie Driver,31410.0
Mass Effect 2,24980.0
BioShock 2,8850.0
BioShock 2 Remastered,409720.0
Bob Came in Pieces,46000.0
Assassin's Creed II,33230.0
Shatter,20820.0
Command and Conquer 4: Tiberian Twilight,47700.0
Battlefield: Bad Company 2,24960.0
Metro 2033,43110.0
Just Cause 2,8190.0
Beat Hazard,49600.0
Sam & Max 301: The Penal Zone,31220.0
Sam & Max 302: The Tomb of Sammun-Mak,31230.0
Sam & Max 303: They Stole Max's Brain!,31240.0
Sam & Max 304: Beyond the Alley of the Dolls,31250.0
Sam & Max 305: The City that Dares not Sleep,31260.0
F.E.A.R.,21090.0
F.E.A.R.: Extraction Point,21110.0
F.E.A.R.: Perseus Mandate,21120.0
Magic: The Gathering - Duels of the Planeswalkers,49400.0
Arma 2,33910.0
Arma 2: Operation Arrowhead,33930.0
Arma 2: Operation Arrowhead Beta (Obsolete),219540.0
Mirror's Edge,17410.0
Dota 2 Test,205790.0
Mafia II,50130.0
Chime,62100.0
Poker Night at the Inventory,31280.0
Amnesia: The Dark Descent,57300.0
R.U.S.E,21970.0
Sid Meier's Civilization V,8930.0
Serious Sam HD: The First Encounter,41000.0
Serious Sam Classic: The First Encounter,41050.0
Serious Sam Classic: The Second Encounter,41060.0
Serious Sam Classics: Revolution,227780.0
DeathSpank,18040.0
Fallout: New Vegas,22380.0
Call of Duty: Black Ops,42700.0
Call of Duty: Black Ops - Multiplayer,42710.0
Flight Control HD,62000.0
Super Meat Boy,40800.0
Gish,9500.0
And Yet It Moves,18700.0
Puzzle Agent,31270.0
Jolly Rover,58200.0
Recettear: An Item Shop's Tale,70400.0
Altitude,41300.0
Gratuitous Space Battles,41800.0
DogFighter,42500.0
Plain Sight,49900.0
Flotilla,55000.0
Total War: SHOGUN 2,34330.0
Monday Night Combat,63200.0
Bulletstorm,99810.0
Portal 2,620.0
Magicka,42910.0
The Wonderful End of the World,15500.0
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),15540.0
Defense Grid: The Awakening,18500.0
Cogs,26500.0
The Ball,35460.0
Toki Tori,38700.0
RUSH,38720.0
BIT.TRIP BEAT,63700.0
Half-Life: Source,280.0
The Witcher 2: Assassins of Kings Enhanced Edition,20920.0
Terraria,105600.0
Frozen Synapse,98200.0
S.T.A.L.K.E.R.: Shadow of Chernobyl,4500.0
Titan Quest,4540.0
Titan Quest: Immortal Throne,4550.0
Saints Row 2,9480.0
"Warhammer® 40,000™: Dawn of War® II",15620.0
Red Faction: Guerrilla Steam Edition,20500.0
"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™",20570.0
Darksiders,50620.0
Homefront,55100.0
MX vs. ATV Reflex,55140.0
"Warhammer® 40,000™: Dawn of War® II – Retribution™",56400.0
Titan Quest Anniversary Edition,475150.0
Defy Gravity,96100.0
Rising Storm/Red Orchestra 2 Multiplayer,35450.0
