recommend,sentiment_analysis,item_id,year
True,2,1250.0,2011
True,2,22200.0,2011
True,2,43110.0,2011
True,2,251610.0,2014
True,2,227300.0,2013
True,2,239030.0,2013
True,2,370360.0,2015
True,2,237930.0,2014
True,1,263360.0,2014
True,2,107200.0,2014
True,2,224500.0,2014
True,2,250320.0,2013
True,2,20920.0,2012
True,2,204100.0,2012
True,2,224600.0,2014
True,0,207610.0,2012
True,2,108710.0,2012
True,1,211420.0,2014
True,2,211820.0,2013
True,2,730.0,2014
True,2,204300.0,2013
True,1,249130.0,2014
True,1,207610.0,2012
True,2,550.0,2012
True,2,65800.0,2012
True,2,220.0,2012
True,0,72850.0,2015
True,1,440.0,2014
True,1,304930.0,2014
True,1,4000.0,2013
True,1,42910.0,2012
True,2,232090.0,2015
True,2,1250.0,2015
True,2,4000.0,2014
True,2,304930.0,2014
True,2,570.0,2013
True,2,218620.0,2015
True,2,224260.0,2013
True,0,1250.0,2013
True,2,440.0,2012
True,2,730.0,2015
True,2,440.0,2014
True,1,49520.0,2014
False,1,33440.0,2014
True,2,220200.0,2015
True,2,211820.0,2014
True,2,440.0,2014
True,2,218740.0,2014
True,2,550.0,2015
True,0,238090.0,2015
True,2,277430.0,2014
True,2,8870.0,2015
True,0,368230.0,2015
True,2,33930.0,2013
False,0,359320.0,2015
True,2,219640.0,2015
True,2,287980.0,2015
True,2,208090.0,2015
True,1,242700.0,2014
False,1,570.0,2014
True,1,224260.0,2014
True,2,221100.0,2015
True,2,570.0,2014
True,2,331470.0,2014
True,2,4000.0,2014
True,2,304930.0,2014
True,0,12210.0,2015
True,1,265210.0,2014
True,2,48700.0,2014
True,2,730.0,2015
True,2,113200.0,2013
True,1,440.0,2014
False,1,383080.0,2015
True,1,213670.0,2015
True,1,105600.0,2015
True,0,730.0,2015
True,2,570.0,2015
True,2,231180.0,2013
True,2,620.0,2012
True,1,223710.0,2015
True,1,299360.0,2015
True,1,322330.0,2015
True,1,1250.0,2015
True,1,12100.0,2015
True,2,204360.0,2015
True,1,440.0,2013
True,2,224260.0,2013
True,2,440.0,2012
True,2,440.0,2015
True,1,1840.0,2015
True,2,440.0,2013
True,2,440.0,2015
True,1,233250.0,2014
True,1,248570.0,2015
True,1,298630.0,2015
True,2,244210.0,2014
True,1,440.0,2015
True,2,376920.0,2015
True,2,257750.0,2015
True,1,221910.0,2014
True,0,2280.0,2013
False,1,417860.0,2015
True,2,218620.0,2014
True,2,218620.0,2014
True,1,222880.0,2014
True,2,377160.0,2015
True,2,211820.0,2013
True,0,252490.0,2015
True,2,440.0,2014
True,2,251990.0,2014
False,0,344760.0,2015
True,1,252950.0,2015
True,2,399730.0,2015
True,2,377160.0,2015
True,2,219150.0,2013
True,2,277430.0,2014
True,2,239820.0,2014
True,2,17410.0,2012
True,2,440.0,2015
True,2,270550.0,2015
True,2,274940.0,2015
True,0,333930.0,2015
True,1,440.0,2014
True,1,730.0,2014
True,0,212070.0,2014
True,1,264140.0,2014
True,1,332800.0,2014
True,2,319630.0,2015
True,0,6020.0,2015
True,2,55230.0,2015
True,2,32430.0,2014
True,2,35450.0,2015
True,2,440.0,2014
True,2,236390.0,2015
True,2,351570.0,2015
True,0,212680.0,2015
True,2,391540.0,2015
True,0,550.0,2014
True,1,440.0,2014
True,1,570.0,2014
True,2,72850.0,2015
True,2,440.0,2015
True,2,113400.0,2014
True,2,440.0,2014
True,2,200510.0,2015
True,2,730.0,2015
True,2,383080.0,2015
True,1,1250.0,2014
True,2,265610.0,2015
True,1,264200.0,2014
True,2,417860.0,2015
True,2,333600.0,2015
True,2,213670.0,2014
True,2,91310.0,2013
True,2,210770.0,2013
True,2,351640.0,2015
True,2,105600.0,2012
True,2,440.0,2014
True,2,47870.0,2013
True,2,383080.0,2015
True,2,410.0,2012
True,2,730.0,2014
False,2,253710.0,2014
True,2,339280.0,2015
True,2,271290.0,2014
True,2,203290.0,2013
True,2,440.0,2015
True,1,233150.0,2014
True,0,550.0,2013
True,2,730.0,2015
True,2,211820.0,2013
True,2,440.0,2015
True,2,224260.0,2015
True,2,317360.0,2014
True,2,295550.0,2014
True,1,250180.0,2014
True,0,227940.0,2014
True,1,17520.0,2014
True,2,113420.0,2014
True,0,320760.0,2015
True,2,8850.0,2015
True,2,233720.0,2014
True,2,218620.0,2015
True,2,730.0,2015
True,2,219740.0,2015
True,2,220240.0,2014
True,2,440.0,2012
True,2,4000.0,2014
True,2,304930.0,2014
True,2,333950.0,2015
True,2,388520.0,2015
True,2,107410.0,2014
True,2,206210.0,2014
True,2,221100.0,2015
True,2,730.0,2015
True,1,440.0,2015
True,2,209870.0,2014
True,2,440.0,2015
True,2,730.0,2015
True,2,362890.0,2015
True,1,413850.0,2015
True,2,730.0,2015
True,2,570.0,2014
True,2,311560.0,2015
True,2,322170.0,2015
False,0,48240.0,2014
True,2,440.0,2015
True,0,248570.0,2014
True,2,264140.0,2014
True,2,4000.0,2014
True,2,266430.0,2015
True,2,316010.0,2015
True,2,249570.0,2014
True,1,240.0,2014
True,1,304930.0,2015
True,2,440.0,2014
True,2,264200.0,2015
True,2,440.0,2014
True,2,383080.0,2015
True,2,301520.0,2014
True,2,243870.0,2014
False,0,218230.0,2014
True,2,251570.0,2015
True,2,221100.0,2015
True,2,316010.0,2015
True,0,218230.0,2015
True,2,333930.0,2015
True,2,222880.0,2015
True,2,730.0,2015
True,2,55230.0,2015
True,2,232090.0,2015
True,1,4000.0,2015
True,2,206420.0,2014
True,2,224260.0,2014
True,2,550.0,2013
True,2,346110.0,2015
False,0,380770.0,2015
False,2,227680.0,2013
True,1,233250.0,2015
True,0,730.0,2015
True,2,730.0,2015
True,2,730.0,2015
True,2,370480.0,2015
True,2,313740.0,2015
True,2,1840.0,2014
True,0,440.0,2014
True,2,266210.0,2015
True,2,264200.0,2015
True,1,287700.0,2015
True,1,377160.0,2015
True,1,221380.0,2015
True,1,333950.0,2015
False,1,222420.0,2015
True,1,271590.0,2015
True,1,298110.0,2015
True,1,222440.0,2015
False,2,317470.0,2014
True,2,47410.0,2014
True,2,245620.0,2015
True,2,70.0,2015
True,2,274980.0,2014
True,2,202090.0,2014
True,2,339280.0,2015
False,0,314130.0,2015
True,2,570.0,2015
True,2,212680.0,2013
True,2,200210.0,2013
True,2,440.0,2011
True,0,417860.0,2015
True,2,251970.0,2015
True,1,304930.0,2014
True,2,400.0,2015
True,2,620.0,2015
True,2,238460.0,2015
True,2,6060.0,2015
True,2,440.0,2014
True,2,730.0,2015
True,2,265610.0,2014
True,2,31280.0,2013
True,2,4000.0,2013
True,2,240.0,2013
True,1,252490.0,2015
True,2,8930.0,2013
True,2,304930.0,2014
True,0,237310.0,2015
True,2,224260.0,2014
True,2,230410.0,2015
True,2,440.0,2014
True,2,440.0,2014
True,2,570.0,2014
True,2,8930.0,2014
True,2,105600.0,2015
True,2,221100.0,2015
True,2,107410.0,2015
True,2,231430.0,2014
True,2,218620.0,2014
True,2,570.0,2015
False,1,333930.0,2015
False,2,230410.0,2015
True,2,271590.0,2015
True,0,218620.0,2014
True,0,219740.0,2013
True,2,7940.0,2013
True,2,234190.0,2014
True,2,10180.0,2013
True,2,33900.0,2013
True,2,261030.0,2015
True,0,243470.0,2014
False,0,302830.0,2015
False,0,570.0,2014
True,0,212680.0,2013
False,0,304930.0,2015
True,2,304050.0,2015
True,2,203750.0,2014
False,2,227940.0,2015
False,0,355180.0,2015
True,1,4000.0,2015
True,2,236390.0,2014
True,2,730.0,2014
True,1,440.0,2014
True,2,4000.0,2015
False,1,302830.0,2015
True,2,220200.0,2014
True,0,242760.0,2014
True,2,352460.0,2015
True,2,322920.0,2015
True,1,234792.0,2015
True,2,252490.0,2014
False,0,304050.0,2015
True,2,550.0,2014
True,2,206420.0,2014
True,2,10180.0,2013
True,2,304930.0,2014
True,2,265750.0,2015
True,2,252490.0,2014
True,2,4000.0,2013
True,2,211820.0,2013
True,2,105600.0,2013
True,2,730.0,2014
True,2,276340.0,2014
True,2,304930.0,2015
True,1,274920.0,2014
True,2,211820.0,2013
True,2,49520.0,2013
True,2,223510.0,2013
True,2,440.0,2012
True,2,240.0,2014
True,2,105600.0,2014
True,2,204300.0,2013
True,0,730.0,2014
False,0,440.0,2015
True,0,570.0,2014
True,2,268750.0,2015
True,2,570.0,2015
True,1,570.0,2015
True,2,271590.0,2015
True,2,360870.0,2015
True,2,730.0,2015
True,2,12900.0,2013
True,2,301520.0,2014
True,2,6060.0,2014
True,2,730.0,2014
True,2,107410.0,2014
True,2,304930.0,2014
True,1,335670.0,2015
True,2,215080.0,2015
True,0,570.0,2014
True,2,271590.0,2015
True,2,730.0,2015
True,2,8190.0,2015
False,0,247730.0,2015
True,2,233630.0,2014
True,2,221100.0,2014
False,2,208812.0,2014
False,2,218620.0,2015
True,2,243120.0,2013
True,1,234140.0,2015
True,2,204450.0,2014
True,2,225260.0,2014
True,2,50300.0,2013
True,2,201810.0,2014
True,2,500.0,2014
True,2,440.0,2014
True,2,49520.0,2014
True,2,550.0,2013
True,2,206420.0,2015
True,2,213670.0,2014
True,2,550.0,2015
True,2,231040.0,2014
True,0,221100.0,2014
True,1,351040.0,2015
True,1,250600.0,2014
True,2,221100.0,2015
True,2,264710.0,2015
True,2,218620.0,2014
True,1,206420.0,2015
True,2,47790.0,2014
True,2,570.0,2015
True,0,346110.0,2015
True,2,440.0,2012
True,0,70.0,2011
True,1,420.0,2011
True,2,380.0,2011
True,1,220.0,2011
True,2,1250.0,2010
False,0,339230.0,2015
True,2,349700.0,2015
True,2,226700.0,2013
True,2,209160.0,2013
True,2,219990.0,2013
True,2,213670.0,2014
False,0,21100.0,2013
True,2,8190.0,2013
False,0,215470.0,2013
True,2,730.0,2014
True,1,1250.0,2014
True,2,4000.0,2014
True,0,401650.0,2015
True,2,35450.0,2012
True,2,230410.0,2015
False,0,304930.0,2014
True,2,290020.0,2014
True,0,248860.0,2014
False,0,226700.0,2014
True,2,244850.0,2015
True,2,298260.0,2015
False,0,370240.0,2015
True,2,730.0,2015
True,1,233450.0,2014
True,2,221260.0,2013
True,2,218620.0,2015
True,1,419070.0,2015
False,0,333930.0,2015
True,1,287700.0,2015
False,1,302830.0,2015
True,2,24240.0,2014
True,1,39800.0,2015
True,0,250600.0,2014
True,0,105600.0,2015
True,2,113020.0,2014
True,2,440.0,2014
True,1,238960.0,2014
True,2,310370.0,2015
True,1,260410.0,2014
True,0,236390.0,2014
False,2,221100.0,2015
True,1,248820.0,2015
True,2,730.0,2014
True,2,550.0,2014
True,2,204030.0,2014
True,2,440.0,2013
True,2,383080.0,2015
True,2,304930.0,2014
True,1,242760.0,2015
True,2,207230.0,2015
False,0,9180.0,2013
True,0,730.0,2015
True,1,10150.0,2014
True,2,214950.0,2015
True,2,218620.0,2014
True,2,220240.0,2014
False,0,271290.0,2015
True,2,313740.0,2014
True,0,34330.0,2012
True,2,271590.0,2015
True,2,291550.0,2015
True,2,259080.0,2013
True,2,233250.0,2014
True,2,256350.0,2014
True,2,249380.0,2015
True,1,391540.0,2015
True,1,265930.0,2015
True,2,620.0,2015
True,1,730.0,2015
True,2,10090.0,2014
True,2,218680.0,2014
True,2,22370.0,2015
True,2,307690.0,2015
True,0,72850.0,2015
True,0,1250.0,2015
True,1,440.0,2014
True,2,440.0,2014
True,1,570.0,2013
True,0,248610.0,2015
True,2,208090.0,2014
True,2,250340.0,2014
True,2,244850.0,2014
True,2,221640.0,2015
True,2,104900.0,2015
True,2,105600.0,2015
False,2,9450.0,2015
True,2,262410.0,2014
True,2,222940.0,2015
True,2,221040.0,2014
True,1,221100.0,2014
True,2,286570.0,2015
False,1,263440.0,2014
True,2,4000.0,2014
True,1,223710.0,2014
True,1,317360.0,2014
True,2,108600.0,2014
True,2,259080.0,2013
True,2,208520.0,2013
True,2,239660.0,2015
True,2,304930.0,2015
True,2,4000.0,2014
True,2,295270.0,2014
True,2,265930.0,2015
True,0,283920.0,2015
True,2,440.0,2015
True,2,294650.0,2015
True,2,233720.0,2014
True,1,12120.0,2015
True,2,55230.0,2015
False,2,227860.0,2015
True,2,218620.0,2015
True,0,208090.0,2014
True,2,228280.0,2015
True,2,240760.0,2014
True,1,226700.0,2015
True,2,250900.0,2015
True,0,35450.0,2015
True,2,212680.0,2014
False,1,346110.0,2015
True,2,205100.0,2013
True,1,570.0,2014
True,2,271290.0,2014
True,1,570.0,2014
True,2,346010.0,2015
True,0,239250.0,2015
True,2,313120.0,2015
True,2,211820.0,2015
True,0,218620.0,2014
True,2,12210.0,2014
True,0,220240.0,2014
True,2,17300.0,2014
True,2,206440.0,2013
False,0,209100.0,2012
True,2,209000.0,2013
True,2,218060.0,2013
True,1,24240.0,2012
True,2,440.0,2015
True,2,730.0,2015
True,2,220200.0,2015
True,1,113020.0,2015
True,1,105600.0,2015
True,2,9480.0,2015
True,0,22230.0,2015
True,2,203770.0,2013
True,2,550.0,2013
True,2,259080.0,2013
True,2,72850.0,2013
True,2,8870.0,2014
True,1,230410.0,2014
True,1,200260.0,2014
True,2,19900.0,2013
True,1,241540.0,2013
True,1,220.0,2013
False,0,227940.0,2014
False,2,236390.0,2014
True,2,17390.0,2014
True,1,359320.0,2015
True,2,317360.0,2015
True,2,253030.0,2015
True,2,295110.0,2015
True,2,264710.0,2015
True,0,274310.0,2014
True,2,4000.0,2014
True,2,730.0,2015
True,2,344770.0,2015
True,0,22380.0,2014
True,2,9900.0,2015
False,1,107410.0,2014
True,2,221640.0,2014
True,2,202170.0,2014
True,0,49520.0,2014
